Date,Close,1 Month,3 Months,6 Months,12 Months
11/1/1949,16.059999,0.001245981,0.053721294,0.123794155,0.085088563
12/1/1949,16.790001,0.044451884,0.07479549,0.170362442,0.099488103
1/1/1950,17.049999,0.015366614,0.06106448,0.125436827,0.113539793
2/1/1950,17.219999,0.009921296,0.069739795,0.123461088,0.163680987
3/1/1950,17.290001,0.004056917,0.029344827,0.104140317,0.138086135
4/1/1950,18.07,0.044124747,0.05810296,0.11916744,0.20572557
5/1/1950,18.780001,0.038539422,0.086721086,0.156460881,0.280255036
6/1/1950,17.690001,-0.059792962,0.022871207,0.052216034,0.222578476
7/1/1950,17.84,0.008443562,-0.012809977,0.045292982,0.170729809
8/1/1950,18.42,0.031993904,-0.019355496,0.06736559,0.190826678
9/1/1950,19.450001,0.054410091,0.094847557,0.117718764,0.221859081
10/1/1950,19.530001,0.004104675,0.090508669,0.077698691,0.196866131
11/1/1950,19.51,-0.001024641,0.057490124,0.038134628,0.194595508
12/1/1950,20.41,0.045097822,0.048177855,0.143025412,0.195241446
1/1/1951,21.66,0.059442265,0.103515445,0.194024114,0.239317096
2/1/1951,21.799999,0.006442682,0.110982769,0.168472893,0.235838483
3/1/1951,21.4,-0.018519002,0.047365945,0.095543801,0.213262564
4/1/1951,22.43,0.047008427,0.034932107,0.138447552,0.216146244
5/1/1951,21.52,-0.041416613,-0.012927189,0.098055581,0.136190208
6/1/1951,20.959999,-0.026366924,-0.02077511,0.026590835,0.169616247
7/1/1951,22.4,0.066445147,-0.00133839,0.033593717,0.227617832
8/1/1951,23.280001,0.038533707,0.078611931,0.065684742,0.234157635
9/1/1951,23.26,-0.000859519,0.104119335,0.083344225,0.178888026
10/1/1951,22.940001,-0.013852992,0.023821196,0.022482807,0.160930359
11/1/1951,22.879999,-0.002619032,-0.017331543,0.061280388,0.159335968
12/1/1951,23.77,0.038161159,0.021689134,0.12580847,0.152399305
1/1/1952,24.139999,0.015445893,0.050988019,0.074809215,0.108402933
2/1/1952,23.26,-0.037135027,0.016472024,-0.000859519,0.064825223
3/1/1952,24.370001,0.046617762,0.024928627,0.046617762,0.129961987
4/1/1952,23.32,-0.044041547,-0.034558813,0.016429206,0.038912013
5/1/1952,23.860001,0.022892097,0.025468311,0.041940336,0.103220723
6/1/1952,24.959999,0.045071045,0.023921595,0.048850222,0.174658692
7/1/1952,25.4,0.017474671,0.085437813,0.050879,0.125688215
8/1/1952,25.030001,-0.014674029,0.047871687,0.073339998,0.07248048
9/1/1952,24.540001,-0.019770665,-0.016970023,0.006951571,0.053569333
10/1/1952,24.52,-0.000815369,-0.035260063,0.05017775,0.066606956
11/1/1952,25.66,0.045444248,0.024858214,0.072729901,0.114670236
12/1/1952,26.57,0.034849401,0.07947828,0.062508256,0.111358478
1/1/1953,26.379999,-0.00717665,0.073116998,0.037856935,0.088735935
2/1/1953,25.9,-0.018363141,0.00930961,0.034167823,0.107507822
3/1/1953,25.290001,-0.023833868,-0.04937366,0.03010462,0.037056192
4/1/1953,24.620001,-0.026849939,-0.069046948,0.00407005,0.0542478
5/1/1953,24.540001,-0.003254681,-0.053938489,-0.044628879,0.028101021
6/1/1953,24.139999,-0.016434306,-0.046538926,-0.095912586,-0.033404329
7/1/1953,24.75,0.024955315,0.005266328,-0.06378062,-0.025923685
8/1/1953,23.32,-0.059514128,-0.050993119,-0.104931607,-0.070763784
9/1/1953,23.35,0.001285623,-0.03327319,-0.079812116,-0.049707496
10/1/1953,24.540001,0.049707496,-0.008521009,-0.003254681,0.000815369
11/1/1953,24.76,0.008924968,0.059918086,0.008924968,-0.035703911
12/1/1953,24.809999,0.00201731,0.060649773,0.027376583,-0.068536002
1/1/1954,26.08,0.04992198,0.060864257,0.052343248,-0.011437372
2/1/1954,26.15,0.002680453,0.054619743,0.114537829,0.009606222
3/1/1954,26.940001,0.029763018,0.082365451,0.143015224,0.063203108
4/1/1954,28.26,0.047835169,0.08027864,0.141142897,0.137888216
5/1/1954,29.190001,0.032378842,0.109977029,0.164596771,0.173521739
6/1/1954,29.209999,0.000684863,0.080898874,0.163264325,0.190640908
7/1/1954,30.879999,0.055597611,0.088661316,0.168939956,0.221283204
8/1/1954,29.83,-0.034594094,0.021688379,0.131665408,0.246203237
9/1/1954,32.310001,0.079862212,0.100865729,0.181764603,0.324779827
10/1/1954,31.68,-0.019691244,0.025576874,0.11423819,0.255381087
11/1/1954,34.240002,0.077709043,0.137880011,0.159568391,0.324165162
12/1/1954,35.98,0.049568619,0.107586418,0.208452146,0.371716471
1/1/1955,36.630001,0.017904376,0.145182037,0.170758911,0.339698867
2/1/1955,36.759998,0.003542639,0.071015633,0.208895645,0.340561053
3/1/1955,36.580002,-0.004908545,0.016538469,0.124124887,0.30588949
4/1/1955,37.959999,0.03703125,0.035665343,0.18084738,0.29508557
